"name","competitive_role","category","audience_buyer","boards","grades","subjects","textbook_specificity","subjective_answer_support","source_grounding","public_price_observed","business_model","distribution","traction_evidence","complements_or_replaces","meaningful_weakness_vs_thesis","evidence_urls","evidence_status_as_of_2026_09_02"
"Parent-led teaching and questioning","Primary substitute","Manual study support","Involved parents and their children","Any","3-10","Any","Exact household textbook and school notes","High, but consistency varies by parent","High because parent sees the source","Time cost; no cash price","Unpaid household labor","Existing family routine","Founder-observed only; no market-wide traction claim","Main activity the product aims to reduce, not eliminate","Trusted and contextual but time-intensive, inconsistent coverage, no longitudinal analytics, and difficult to sustain","Repository founder context; CMS Education 2025: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2160863&lang=2&reg=3","Founder observation plus inference"
"Local tutors and private coaching","Primary substitute","Human tutoring/coaching","Parents; students","Any","3-10 and beyond","Broad or subject-specific","Can follow the child's exact book","High; human feedback quality varies","Potentially high when tutor uses the book","CMS 2025 reports average annual coaching spend of INR 2,887 overall and INR 3,988 urban among all surveyed students; actual paying-user spend can be higher","Hourly, monthly, or course fee","Local referrals, coaching centres, online marketplaces","27.0% of students surveyed used private coaching; 30.7% urban and 25.5% rural","Product can complement concept teaching or replace low-intensity revision/questioning","Human motivation and explanation are stronger; scheduling, cost, variability, and limited systematic mastery data are weaknesses","https://www.pib.gov.in/PressReleasePage.aspx?PRID=2160863&lang=2&reg=3","Verified national household-survey evidence; exact local prices remain a gap"
"School notes, worksheets, and teacher tests","Primary substitute","School-provided material","Students; indirectly parents","School-specific","3-10","Any","Often closely aligned to taught content, not necessarily complete textbook coverage","Yes, through answer keys or teacher marking","Grounded in school curriculum and teacher judgment","Usually bundled with school fees","Institutionally provided","School classroom, LMS, WhatsApp, print","Ubiquitous by founder observation; no quantified national usage claim","Complements; the product should ingest or respect these signals rather than claim to replace school teaching","Free and trusted but uneven coverage, limited repetition, delayed feedback, and no family-controlled mastery layer","Repository founder context","Founder observation; not independently quantified"
"Printed guidebooks and question banks","Primary substitute","Books and workbooks","Parents and students","CBSE, ICSE, state boards by title","Mostly 6-12, with some lower grades","Subject-specific","Board/class/subject specific; usually not exact school-edition specific","Worked subjective answers, but no interactive grading","Publisher corpus, not user-provided source","Roughly INR 165-700 for observed single-subject/class books","One-time retail purchase","Bookstores, Amazon, publisher sites, schools","Observed current product catalogues; individual claims vary","Partly replaced for practice; remains a cheap reference complement","Predictable, trusted, offline, and cheap; static, not personalized, no answer evaluation or mastery analytics","https://oswaalbooks.com/products/one-for-all-question-bank-ncert-cbse-class-6-science-curiosity-for-latest-exam ; https://arihantbooks.com/products/all-in-one-science-based-on-latest-curiosity ; https://www.educart.co/class-10-question-banks?book-board=CBSE","Verified current catalogue examples; category-level inference"
"myCBSEguide","Direct for CBSE scale comparison","Board-exam and school-practice app","CBSE students, parents, teachers","CBSE","3-12","Broad","CBSE syllabus and its own corpus; not private exact-edition upload","Subjective model answers and tests; no verified rubric-scored free-form grading","Provider corpus","Observed Class 10 subscription INR 699 through March 2027","Subscription plus institutional offerings","Web/app, search, teacher network","Provider claims 1.4 crore registered students, 12 lakh teachers, and 12,000 institutions; treat as self-reported","Can replace generic practice and notes; product could complement for exact school books","Strong price anchor and breadth; weaker on private source upload, exact-edition traceability, parent workflow, and interactive subjective grading","https://mycbseguide.com/ ; https://mycbseguide.com/blog/online-course-for-class-10/","Current price and provider claims verified on first-party pages; claims unaudited"
"EduRev Infinity","Direct/adjacent","Learning and test-prep platform","Students and parents","CBSE and ICSE content advertised","Broad school grades and exams","Broad","Board/class corpus, not exact private upload","Tests and solutions; free-form rubric grading not established","Provider corpus","India price was not reliably exposed during research; do not use foreign-currency rendering as India price","Freemium subscription","Web/app, organic search, app stores","Provider pages show broad usage claims; no independent figure used in sizing","Replaces generic notes/tests; complements exact-edition practice","Breadth and community are strong; source traceability, exact-edition coverage, and parent-controlled private banks are unclear","https://edurev.in/subscription?bundleId=43&mypurchase=0&purchasebundleId=0","Current offering verified; India pricing and independent traction are data gaps"
"Extramarks","Direct/adjacent","K-12 learning and assessment platform","Parents, students, schools","CBSE, ICSE, and selected state boards","K-12","Broad","Board-aligned provider content","Assessments and solutions; exact rubric workflow not publicly established","Provider corpus","Pricing not publicly transparent; demo-led","Consumer subscriptions and school B2B","Direct sales, schools, web/app","Provider-level claims only; no audited number used","Can replace a broad learning app and complement school instruction","Rich content and school reach; expensive/opaque acquisition model, not private exact-book upload, and broader than the proposed revision wedge","https://www.extramarks.com/campaigns/","Current first-party product evidence; price/traction gaps"
"Meritnation","Adjacent","K-12 learning and homework platform","Students and parents","Historically CBSE, ICSE, and state-board coverage","School grades","Broad","Provider corpus by board/class","Solutions and tests; rubric-scored submitted prose not verified","Provider corpus","Current public price not verified","Freemium/subscription historically","Web/app and organic search","No current primary traction evidence located","Replaces generic explanations/tests; does not replace exact-edition bank","Current product scope, pricing, and activity were difficult to verify; should not be treated as a strong current direct competitor without fresh customer evidence","https://www.meritnation.com/","Existence verified; current commercial evidence insufficient"
"Physics Wallah School Prep","Direct/adjacent","Live classes and school preparation","Parents and students","CBSE and ICSE","6-10 and broader","Core school subjects","Board/class syllabus, not exact school textbook upload","Live doubt support, tests, and some subjective assessments","Provider curriculum","Observed ICSE Class 6 Spark annual batch INR 5,200; premium multi-year school programs can be much higher","Course/batch fees","App/web, social media, teacher brands","Provider is a large national brand; no audited school-prep cohort used","Can replace tuition or broad course; product may complement revision after lessons","Human/live instruction and brand are strong; higher cost, fixed schedule/curriculum, and not private exact-edition comprehensive questioning","https://www.pw.live/school-prep/exams/spark-2027-class-6th-batch ; https://www.pw.live/school-prep/class-7/batches/master-program-cbse-class--7-8--2025-27-658095","Current first-party prices and offering verified; platform-wide claims not relied upon"
"Vedantu school courses","Adjacent","Live online tutoring","Parents and students","CBSE and other advertised curricula","School grades","Maths, science, English and more","Board/class curriculum","Human feedback and tests","Provider curriculum","Observed Class 6 CBSE plans around INR 50,000-54,400 per year","Annual course subscription","Direct digital marketing, app/web, counsellor sales","No audited cohort figure used","Can replace tuition; proposed product complements or substitutes only revision labor","Strong teaching and accountability; much higher price, sales-heavy journey, fixed curriculum, and no exact private-textbook bank","https://www.vedantu.com/course/ai-live/class-6-cbse-school?plan=1","Current first-party price page observed; price may change"
