"section","metric","unit","efficient_case","base_case","stress_case","formula_or_method","evidence_or_benchmark","classification"
"Customer plan","Annual family price","INR/year","2499","2499","2499","Recommended simple public price; up to 2 children and a fair-use chapter/page allowance","Founder pricing hypothesis; must be tested","HYPOTHESIS"
"Customer plan","Included new chapter builds","chapters/year","18","24","36","Scenario usage, not a promise of unlimited processing","Technical/behavioral benchmark required","ASSUMPTION"
"Customer plan","Average pages per chapter","pages","10","12.5","20","Observed/scenario input volume","Measure from first 100 uploads","ASSUMPTION"
"Customer plan","Annual source pages","pages/year","180","300","720","chapters times pages per chapter","Calculated","CALCULATION"
"Engagement","Practice sessions per family per year","10-question sessions","72","96","180","6, 8, or 15 sessions per month averaged over year","Measure retention and exam seasonality","ASSUMPTION"
"Engagement","Answers graded","answers/year","720","960","1800","sessions times 10","Calculated","CALCULATION"
"Engagement","Subjective-answer share","percent","25","30","40","Mix of brief, multi-point, and compare responses","Current product targets 3 subjective questions in a 10-question session","REPO_EVIDENCE"
"Engagement","Subjective answers graded","answers/year","180","288","720","answers times subjective share","Calculated","CALCULATION"
"Ingestion cost","OCR unit cost","INR/page","0.1425","0.1425","0.1425","USD 1.50 per 1,000 document-text pages times INR 95/USD; ignores first 1,000 free units","https://cloud.google.com/vision/pricing ; explicit FX assumption","BENCHMARK"
"Ingestion cost","Annual OCR cost","INR/family/year","25.65","42.75","102.60","annual pages times OCR unit cost","Calculated from benchmark; actual OCR choice and retries must be measured","CALCULATION"
"Ingestion cost","Generation plus AI-QC cost per chapter","INR/chapter","5","8","25","Scenario includes extraction structuring generation and model review; excludes adult review","Gemini Flash-Lite public token price is a lower-cost reference, not a measured pipeline: https://ai.google.dev/gemini-api/docs/pricing","ASSUMPTION"
"Ingestion cost","Annual generation plus AI-QC","INR/family/year","90","192","900","chapters times AI cost per chapter","Calculated","CALCULATION"
"Grading cost","AI cost per subjective answer","INR/answer","0.08","0.12","0.35","Scenario token volume/model/retry rate","Gemini Flash-Lite token benchmark: https://ai.google.dev/gemini-api/docs/pricing ; current repository uses an OpenRouter model and must be measured","ASSUMPTION"
"Grading cost","Annual subjective grading","INR/family/year","14.40","34.56","252","subjective answers times cost per answer","Calculated","CALCULATION"
"Grading cost","Fuzzy/objective AI fallback","INR/family/year","4","10","40","Allowance for semantic checks/retries beyond deterministic marking","Measure fallback rate and tokens","ASSUMPTION"
